detailServiceId,name
098f1b82-d17f-4c58-b6cb-50bc6666dbc2,Savaya Bali
0b59f8ad-4b6d-4fcc-aa31-963cb671c124,XS Nightclub
0c7e34b2-5944-44db-87fc-620a8dc57f5f,AYU Dayclub
0f1d19a2-7376-4a6d-9552-b7a3e1ccc26d,Motorbike Rental by Weda Tour
14060d68-dbaa-40c6-9354-07b0d045dedf,White Rock Beach Club
1d8c85fd-cb9a-4994-a89c-a9813c43393c,Nusa Penida Tour - Own Transport by Weda Tour
258109d0-fde0-42a1-9d1a-ca58851a2706,Bali Snorkeling Adventure by Weda Tour
2d2959d8-2b61-4537-8635-6e493f61b73e,Car Rental by Weda Tour
34d80714-d0cb-46d6-98cb-205042f39027,Tropical Temptation Beach Club
35a0e628-2dc0-4d4d-94f0-f1b79c1281f0,JEWEL Nightclub
364b40a1-8c92-4c47-93cc-28f434213d28,TAO Nightclub
4b04a552-4d5c-461a-b8eb-785d859ee162,Encore Beachclub
54dcbb3a-dd97-4e22-9840-ee4fac9bab92,Nusa Penida Tour-Pick Up Drop Hotel by Weda Tour
5d170d06-336d-424b-a8aa-fd432338bbed,Bali Jeep Adventure by Weda Tour
689fb286-e883-4b63-845b-2a2a59882653,Alga Salon & Barbershop
6cfffe98-a050-4681-bb78-70b03b5f7345,Eco Fun Fishing Tour by SBW Tours & Travel
74126017-ecd2-450d-bab9-d335acd8ff19,Sapphire Las Vegas Gentlemen's Club
759689f4-0cf1-4579-81cf-9707825d4b1a,Jungle Club Ubud
7a07196c-62d1-402f-94a5-1508bd0ce7ab,Silver CnD 
7cce3318-64fe-4804-9a8e-69d86732a843,Drai's Nightclub
7ed8cc71-23da-4c7e-9937-1fddcaa3c900,TAO Beach Dayclub
80a2d027-3969-4f68-a9e9-b5c598697077,Mount Batur Trekking
8c6c4197-8e52-444e-ba70-dcddb4c8a994,Peppermint Hippo
8dfe8968-f42e-4c86-8111-653a706a6a3e,EBC at Night
91a5affa-1e1c-4517-908c-68e0f195d033,HAKKASAN Nightclub
962a3aa3-8cbc-44a5-b465-3e859997aef8,Sugar Rays Booze Bus
9c636739-e8e4-4ea4-b90e-2b4bae821c9b,ZOUK Nightclub
9dc2fb2e-209b-47f8-8a74-057377152db7,Drai's Beachclub
a42af23c-bbf2-4c3b-8ef9-3be2b21ac22a,Mazu Beach Club Bali
af68acbd-2301-43bb-968c-29acb9e1c2ce,Bali Beer Cycle
b85f7a6a-0617-4561-b78b-60c1babb23db,Bali ATV Adventure by Weda Tour
b97ef270-2be7-4583-9f4e-f4e8ea931f3d,Luna Beach Club
d1c26da5-31a3-4ab8-bc8c-2f7b8edabd33,OMNIA Nightclub
d258aea6-43b2-4f40-a8ba-ad8886eb1831,Ayung River Rafting
d7564bbc-1d36-4011-adeb-27477aea15d3,MARQUEE Dayclub
e763c1b2-2d31-415b-924e-29dc3244a7c1,MARQUEE Nightclub
ecd1abf4-6e1e-4e68-9856-725f05b7ab9d,Beat Boat Bali
eeb32055-e8b5-4737-84d1-3469cc5b58e7,Mirror Nightclub and Lounge Bali
f25d8fba-9339-4e3a-9535-082b490c2db3,The Mesa
fb3f6668-11eb-42de-abda-80b75dd087e9,Spearmint Rhino
fe232575-0fd7-40e9-a588-8eb09badb713,Diving/Scuba Experience in Nusa Dua by Weda Tour
ff523e7a-d8cb-4950-98b3-56d2abeeff42,My Zen Spa Bali
